State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8526567650756934	0.04352281313284364	0.024369214649312694	0.07518632667470722	0.0020065839550500414	0.0	2.4299352417027405E-4	0.0014621203880059125	0.0	5.531826002168278E-4
2	0.022718970633676405	0.7371537821844402	0.17335783081975933	7.319391458845083E-4	0.0	0.0	5.78661736117435E-5	0.028896276026496175	0.024737116630652388	0.012346218385479207
3	0.006093718376436371	0.0804191264834342	0.7060370860897882	0.004886782157707003	0.001101094598876975	1.3975758036314186E-4	0.008331707429079323	0.186632308437944	6.875330582053767E-4	0.0056708857881654666
4	0.04312242055196939	9.16013017549789E-4	0.011343333865680082	0.8145131991517192	0.08889685638631746	0.036231205730415876	0.004744621126752649	2.1582308786358587E-6	0.0	2.3019193871698875E-4
5	5.202289430301844E-4	0.0	0.0011142445017638476	0.036297780451555954	0.8448532302578774	0.10907464989480355	0.001666775164806126	0.006231652261470663	0.0	2.414385246923275E-4
6	0.0	0.0	1.610669109995811E-4	0.018826455046945287	0.14120207052678	0.7755679001397955	0.06399163166164525	0.0	0.0	2.50875713834553E-4
7	3.532659835000535E-5	3.479402664882799E-5	0.0037760281612450016	8.30151037268411E-4	7.40292706430318E-4	0.021470414387285155	0.9535177545195473	0.01793329969495988	0.0	0.0016619388682650542
8	1.4073316504605621E-5	6.318514914333644E-4	0.008601473213856528	4.1949285241440523E-7	2.8911712790917455E-4	0.0	0.0018953479095776126	0.9781896480067946	0.0069599821673506646	0.003418087273721078
9	0.0	0.002626203929789203	1.7767056512049586E-4	0.0	0.0	1.1783422610468057E-6	0.0	0.03422704059930134	0.9595371604931162	0.003430746070411526
10	4.0751692097089364E-4	0.02380599219644556	0.022239257498697637	3.629145080409058E-4	9.625792208691712E-4	8.568035477875155E-4	0.01562556257126335	0.2964550764106476	0.06045784709935221	0.578826450025925
